date,minute,label,high,low,average,volume,notional,numberOfTrades,marketHigh,marketLow,marketAverage,marketVolume,marketNotional,marketNumberOfTrades,open,close,marketOpen,marketClose,changeOverTime,marketChangeOverTime,likes,retweets,neutral,negative,positive,composite
2021-02-05,13:12,1:12 PM,860.16,859.89,860.058,1369,1177418.92,23,860.16,859.873,860.038,12092,10399586.09,79,859.99,860.07,860.004,860,0.0170005,0.016955205,0,0,0.873,0.088333333,0.038666667,-0.094733333
2021-02-05,13:14,1:14 PM,860.56,859.94,860.39,416,357922.29,8,860.75,859.85,860.301,10297,8858522.314,74,859.94,860.39,859.87,860.54,0.017393083,0.01726619,0,0,1,0,0,0
2021-02-05,13:15,1:15 PM,860.73,860.42,860.543,331,284839.905,15,860.735,860.25,860.537,4437,3818201.045,33,860.49,860.66,860.6,860.59,0.017574002,0.01754525,0,0.5,0.855,0.03,0.1155,0.3454
2021-02-05,13:16,1:16 PM,860.6,860.06,860.354,373,320912.09,9,860.66,859.893,860.309,9186,7902802.203,44,860.6,860.08,860.66,860.322,0.017350514,0.01727565,0,0,1,0,0,0
2021-02-05,13:17,1:17 PM,860.395,859.9,860.143,709,609841.36,12,860.41,859.89,860.098,6227,5355828.7,49,860.29,860.18,860.09,860.17,0.017101011,0.017026152,0.666666667,1.333333333,0.901,0,0.099,0.245133333
2021-02-05,13:20,1:20 PM,861.5,860.795,861.236,1007,867265.165,18,861.73,860.79,861.184,23314,20077642.89,139,860.95,861.465,861,861.641,0.01839346,0.018310297,0,1,1,0,0,0
2021-02-05,13:21,1:21 PM,861.905,861.36,861.689,181,155965.815,6,862,861.12,861.598,11026,9499982.83,78,861.895,861.36,861.72,861.12,0.018929123,0.018799833,0,0.5,0.8535,0.0355,0.111,0.33525
2021-02-05,13:22,1:22 PM,861.105,860.69,861.074,410,353040.29,5,861.13,860.64,860.917,12436,10706366.58,40,861.105,860.835,861.13,860.9,0.018201899,0.017994582,4,2.5,0.942,0,0.058,0.1806
2021-02-05,13:23,1:23 PM,861.135,860.695,860.943,337,290137.75,10,861.16,860.68,860.927,9254,7967021.862,55,861.02,860.95,861,860.73,0.018046994,0.018006407,0.5,0.5,0.849,0.151,0,-0.2997
2021-02-05,13:24,1:24 PM,860.85,859.89,860.402,1052,905143.05,17,860.81,859.909,860.3,9263,7968958.174,66,860.85,859.89,860.687,859.97,0.017407273,0.017265008,0,1.25,0.94925,0.0425,0.00825,-0.21375
2021-02-05,13:25,1:25 PM,859.82,859.54,859.696,976,839063.58,16,859.97,859.5,859.7,18968,16306797,102,859.79,859.73,859.93,859.755,0.016572443,0.016555536,1,0,0.783,0,0.217,0.743
2021-02-05,13:26,1:26 PM,860.12,859.68,859.979,357,307012.66,5,860.225,859.522,860.012,10235,8802225.759,58,859.68,860.12,859.619,860.178,0.016907084,0.016924461,19.33333333,3.333333333,0.777,0.196666667,0.026333333,-0.242466667
2021-02-05,13:27,1:27 PM,860.21,859.68,859.927,556,478119.2,10,860.25,859.58,859.966,12835,11037657.8,67,860.21,859.86,860.085,859.9,0.016845595,0.016870068,0,0,0.906,0,0.094,0.4404
2021-02-05,13:29,1:29 PM,859.65,859.29,859.497,959,824258.03,13,859.74,859.28,859.513,9628,8275395.88,67,859.39,859.65,859.495,859.65,0.016337129,0.016334417,0,0,0.9695,0,0.0305,0.08895
